::::Dially batch job::::: 
PLPABQGTISKIFCPR,GTISkiftCpr
:::::Print og opkrævning:::::::
PLPAELMCPSPRINT,TopCpsReportingPrint
PLPPABRETIREPRNT,RetirementPrint
PLPAAYMPBILLREMI,PbsBillingReminder
PLPABAMCVRFSTREM,CVRFirstRemainderPrint
PLPACQMBILLING,BillingRequest
PLPAEOMTOPBENEND,TopBenefitEndPrint
PLPACQMBILLING,PbsBillingRequest
PLPACQMBILLING,BillingRequestPrint
PLPAEMLIFECERT,TopLifeCertificatePrintBatchJob
:::::::::Data Warehouse :::::::::::::
PLPACCDDMMAPPER,DmProductMapper
PLPACCDDMMAPPER,DmMapper
PLPACCDDMMAPPER,DmReconcile
PLPACCDDMMAPPER,SAS Efter DmMapper  
PLTADQDPRODUCTM1,DmProductMapper
PLTADQDPRODUCTM2,DmProductMapper
PLTADQDPRODUCTM3,DmProductMapper
PLTADQDPRODUCTM4,DmProductMapper
PLTADQDPRODUCTM5,DmProductMapper
PLTADQDPRODUCTM6,DmProductMapper
PLTADQDPRODUCTM7,DmProductMapper
PLTADQDPRODUCTM8,DmProductMapper
PLTADQDPRODUCTM9,DmProductMapper
::::::::Housekeeping::::::::::
PLPABXDRAFTAGREE,TerminateAgreements
PLPABXDRAFTAGREE,CancelQuoteAgreements
PLPABXDRAFTAGREE,CancelDraftAgreements
PLPABXDRAFTAGREE,CancelActiveQuoteAgreements
PLPAASMACCPROJPR,Primo
PLPAATMACCPROJEM,EndMonth
PLPAAUMINTRISKBO,InteresRiskBonus
PLPABTPOLICYSERV,SyncronizePolicyServiceDepartment
PLPAEUMAGREEMENT,AgreementValidationExport
PLPAAQDNEEDSADVA,NeedsAdvance
PLPAEWWQUOTEDEL,QouteDeletion
PLPAERDPRAAC,PolicyRollbackAfterAgreementChange
:::::  Diverse jobs  :::
PLPAPCDPIFUPDATE,PifUpdate
PLPADZDPIF2UPDAT,Pif2Update
:::PEP ::::
PLPACLMRUNPAYREP,RunningPayablesReporting
PLPAFFMVIRKDKCOL,VirkDkCollectCompanies
PLPAFCAPENDIVADH,PenDivAdHocCorrection

PLPABODGTISKIFTL,GTISkiftLandekode 
PLPABPDGTISKIFTS,GTISkiftStatus
PLPABRMRETIREPRN,RetirementPrint   
PLPABSMRESIGNATI,ResignationInfoPrint     
PLPABTMPOLICYSER,SyncronizePolicyServiceD 
PLPABVDSAPPAYMEN,SapPaymentReceipt        
PLPABZDPAFREPORT,PafReporting  
PLPADQDPRODUCTM1,DmProductMapper at 10.00 
PLPADQDPRODUCTM2,DmProductMapper at 11.00 
PLPADQDPRODUCTM3,DmProductMapper at 12.00 
PLPADQDPRODUCTM4,DmProductMapper at 13.00 
PLPADQDPRODUCTM5,DmProductMapper at 14.00 
PLPADQDPRODUCTM6,DmProductMapper at 15.00 
PLPADQDPRODUCTM7,DmProductMapper at 16.00 
PLPADQDPRODUCTM8,DmProductMapper at 17.00 
PLPADQDPRODUCTM9,DmProductMapper at 18.00 
PLPADSYENDPALYR,EndPalYear 
PLPADTNMANCOMP,AdHocManualCompensation 
PLPADUNPOLONHOLD,AdHocPoliciesOnHold
PLPADVNROLLBACK,AdHocRollBack
PLPAEAACRSCORREC,CrsCorrection 
PLPAEBACRSDELETE,CrsDeletion
PLPAECAFATCACOR,FatcaCorrection
PLPAEEACOSTCLOSE,YearlyCostCloseInfo 
PLPAEJDHEAPRECEI,Bestil indb pension var
PLPAEXABINCOMCOR,TaxCorrectionPrevYears 
PLPAEYACPSCORREC,CpsCorrectionPrevYears
PLPAEZAASKATALD,In. Taxcode45 PrevYears
PLPAFGAMLREP,AMLReporting  


PLPACADFROMNETS,NETSIMPORT
PLPACKDFROMNETS,NETSIMPORT 603 ETT   (only Top job - not Liva job) 
PLPACODFROMNETS,NETSIMPORT 621 ETT   (only Top job - not Liva job)  
